,Ticker,30YR_median,25YR_median,20YR_median,15YR_median,10YR_median,5YR_median
77,MNST,27.958,31.4815,35.565,35.2545,24.323,18.7125
87,NVR,25.613,25.9985,27.475,26.395,20.941,20.8315
120,UNH,23.359,19.678,18.8795,17.015,22.6525,24.881
65,JKHY,23.11,19.585500000000003,17.426,15.1645,16.996,17.488500000000002
50,FICO,20.633,18.1995,16.449,14.8655,19.133,25.7725
9,AMGN,20.505,16.4825,13.619,11.972999999999999,15.399,14.8275
35,DHR,20.45,19.7945,19.36,18.136,20.14,19.0475
101,ROST,20.387,21.4495,20.73,20.486,22.311,22.203
108,STZ,20.2975,17.791,17.880000000000003,16.437,18.5845,17.885
79,MSFT,19.684,15.967,12.5885,14.592,17.922,22.898
89,ORCL,19.583,18.35,14.9465,13.655,12.400500000000001,15.894
0,AAPL,19.2715,19.117,19.0505,21.419,22.307499999999997,21.396
2,ADBE,19.2415,18.188,16.6575,16.981,19.4965,21.5
110,SYK,19.023,18.3425,16.521,16.4665,21.081,18.374000000000002
49,FI,18.685000000000002,17.067,15.801,14.599,17.4455,20.015
112,TECH,18.647,17.6015,14.788,15.213000000000001,17.068,15.967
16,BBY,18.584,17.0505,15.116,13.696000000000002,11.274,15.849
54,HD,18.559,16.234,13.35,14.062999999999999,17.711,18.082
46,FAST,18.374,15.270499999999998,14.664,14.748000000000001,13.992,17.381
105,SCHW,18.337,15.0195,12.764,9.967500000000001,10.611,10.071000000000002
8,AMAT,18.222,17.683,19.657,19.879,19.925,16.03
45,EXPD,17.863500000000002,18.3,19.723,19.362,17.5385,16.415
55,HEI,17.497,16.663,16.405,18.913,18.691499999999998,17.292
82,NKE,17.490000000000002,17.044,16.288,15.718,17.909,14.508
86,NVO,17.266,17.809,17.573,17.808500000000002,16.314,17.8465
90,PAYX,16.809,16.600499999999997,14.435,10.838000000000001,14.026,13.3285
7,AFL,16.6,15.7325,17.463,17.5815,18.051,13.165
22,BRO,16.577,16.47,16.464,16.664,16.193,18.183500000000002
93,PGR,16.5685,16.201,16.947,19.597,19.8525,19.986
72,LRCX,16.508,15.541,15.3215,16.043,15.8245,19.901
99,RJF,16.449,14.8735,14.025,14.2125,15.822,16.972
114,TJX,16.425,16.859,15.9665,16.493,17.1425,15.074
71,LOW,16.3855,17.642,16.1095,13.668,15.43,17.948
52,GGG,16.0955,16.602,15.641,15.304,14.5565,15.014
21,BRK_A,16.032,15.0805,12.957,12.439499999999999,13.334,16.7515
98,RCI,15.801,17.3425,16.407,16.9715,16.447,9.4475
125,WMT,15.7195,14.109,14.291,12.923,15.24,13.636
74,MDT,15.6455,16.792,15.282,15.289,12.5135,12.804
117,TROW,15.4445,14.94,14.638,11.667,13.3255,11.356
127,WSO,15.4295,15.478,16.1705,15.861,16.0355,15.061
63,J,15.063,15.827,14.389,13.957,11.685,12.898
24,CHD,14.766,14.398,14.499500000000001,14.964,16.619,16.504
76,MKL,14.715,14.627,13.568999999999999,11.339,11.9505,14.825
19,BIO,14.6965,14.898,15.608,14.912,13.349,13.673
61,INTC,14.628499999999999,15.278,17.5215,16.058,12.8755,12.21
3,ADI,14.5105,14.833,14.748999999999999,16.614,14.375,16.181
36,DINO,14.510000000000002,14.305,16.2765,14.324,16.508,8.111
39,EA,14.304,12.985,10.009,6.8075,18.047,19.137999999999998
29,COST,14.161,13.576,13.4845,13.341,14.4925,13.955
78,MO,14.155000000000001,13.54,14.097000000000001,12.735,12.274000000000001,11.943
106,SHW,14.126999999999999,13.834,13.564499999999999,12.993,15.8595,14.22
60,IEX,14.052,12.903500000000001,12.845,13.375,11.972,13.813500000000001
33,CTAS,13.942,11.719999999999999,9.92,11.914000000000001,17.656,23.3345
118,TTC,13.871,12.774,14.056000000000001,13.462,12.841000000000001,11.935
62,ITW,13.719999999999999,12.841,11.4585,13.362,14.125,14.32
113,TGT,13.517,12.8225,12.954,13.658999999999999,10.73,10.7555
11,AOS,13.497,12.847999999999999,12.405,13.5855,13.361,10.058
115,TMO,13.447500000000002,12.454,12.905999999999999,14.356,15.0805,18.537
41,EFX,13.319,12.1815,11.729,12.395,13.384,11.613
69,LEN,13.262,12.9165,12.097,11.469999999999999,15.887,17.0955
6,ADSK,13.129,12.436,12.906,13.465,14.37,12.948
40,ECL,13.0735,13.641,13.5485,12.451,11.3905,11.049
81,NDX,12.984,12.102,11.169,11.8275,13.95,15.9345
109,SWKS,12.9785,11.941,10.747,12.895,16.147,12.968
111,SYY,12.871,12.8545,15.662,14.212,16.243,13.485
57,HRL,12.8485,11.878,12.4205,12.31,11.963999999999999,9.539
5,ADP,12.8305,12.411,11.704,12.327,13.9865,15.482
1,ABT,12.784500000000001,13.177,12.126999999999999,12.489,12.8695,13.981
92,PEP,12.7235,13.109,13.1795,9.031,8.489999999999998,8.87
75,MKC,12.712499999999999,12.274,12.506,11.343,10.434000000000001,11.378
64,JBHT,12.635,12.993500000000001,14.096,13.69,13.725,12.8775
85,NUE,12.567,13.912,13.493,12.887,14.852,11.614
122,VLO,12.513,12.173,13.9165,12.722,11.431000000000001,12.246
126,WRB,12.473,12.661999999999999,13.221,12.648,13.378,13.692
80,NDSN,12.454,11.244499999999999,11.793,13.495000000000001,13.676,15.695
25,CI,12.2865,11.607,10.617999999999999,11.406,13.358,7.305
73,MCD,12.242,12.683,12.337,11.648,12.09,13.382
28,COO,12.196,14.361,13.777,15.274000000000001,11.928,13.4485
23,CAH,12.176,12.0765,10.954,8.235,6.441,12.4345
67,KLAC,12.0655,13.146,12.1745,12.509,12.506,16.543
31,CSL,12.058,12.288,11.4925,12.303,13.325,12.393
27,CMCSA,12.0575,12.394,12.382000000000001,12.641,14.522,13.356
58,HSY,12.038,10.508,11.186,12.029,12.1115,12.479
15,BALL,12.0275,12.033,10.881499999999999,12.542,14.282,12.244
18,BF_B,12.01,12.212,12.315,11.872,12.9695,11.203
51,GD,12.0005,11.647,11.728,11.348,11.979,12.846
66,JNJ,11.9795,11.727,10.664000000000001,10.409,9.673,8.908
88,OMC,11.96,12.818,13.464500000000001,11.551,8.907499999999999,8.156
17,BDX,11.9295,11.879,11.549,11.04,11.7635,9.022
91,PCAR,11.8845,12.286,11.565,11.621,10.4905,11.266
42,EOG,11.59,13.832,15.032,14.5885,12.836,10.925
26,CLX,11.439499999999999,10.211,10.25,9.941,11.1965,9.747
107,SPGI,11.376,12.16,11.677,11.344,13.536,14.607
104,RTX,11.366499999999998,11.539,11.2645,10.402,8.7595,8.446
103,RRX,11.358,10.743,10.637,9.688500000000001,10.545,11.599
128,WST,11.269,10.552,11.136,12.03,12.4,13.954
96,PNR,11.0735,11.284,11.011,10.847,11.3125,12.316
95,PHM,11.066500000000001,11.406,10.6095,10.246,14.399999999999999,18.01
38,DOV,11.006,10.412,10.8335,12.011,12.146,13.118
100,ROK,10.9235,11.268,11.475,11.682,10.848500000000001,10.241
119,TXN,10.754999999999999,10.957,11.5045,9.515,8.314499999999999,9.172
53,GWW,10.703,10.804,11.178,11.603,11.848,11.1685
20,BN,10.5905,12.124,12.279,12.506,12.348500000000001,11.964
83,NOC,10.4955,9.921,9.762,10.929,11.292,12.195
43,EQT,10.381,9.849,10.446000000000002,11.296,9.841000000000001,8.074
14,BA,10.346,9.961,10.022,10.713,11.185500000000001,12.014
94,PH,10.1765,10.201,10.163,9.43,10.404499999999999,10.858
13,APD,10.1745,10.22,10.735,10.356,10.0415,12.0
44,ETN,10.085,9.627,10.315999999999999,9.386,10.485,8.665
116,TPL,10.027000000000001,9.958,10.504000000000001,14.342,16.6545,15.476
47,FCNCA,10.01,9.525,9.4225,8.894,10.1145,10.842
10,AON,9.935500000000001,9.214,7.990499999999999,8.69,11.943000000000001,13.794
56,HON,9.919,9.281,7.822,9.3965,10.212,13.3385
124,WM,9.867999999999999,7.603,7.662,7.564,6.893000000000001,8.705
32,CSX,9.7345,9.47,8.2845,8.415,11.9155,12.537
97,PPG,9.653,9.976,9.576,9.529,11.689499999999999,9.375
123,VMC,9.6165,10.557,11.2075,10.746,12.136,11.137
121,UNP,9.524,9.866,10.022,9.662500000000001,9.596,10.567
4,ADM,9.432,9.366,9.3915,9.018,9.509,9.803
12,APA,9.400500000000001,9.921,9.3445,9.016,10.846499999999999,8.125
59,HUM,9.351,9.940000000000001,10.057,13.016,13.758,10.123999999999999
48,FDX,9.183,10.207,10.26,9.218,8.3345,10.462
34,DE,9.1445,9.544,8.721,9.61,9.6255,10.31
102,RPM,9.082,8.351,9.2545,9.506,11.5755,13.08
84,NSC,9.077,8.716,8.786999999999999,9.027,11.3045,9.041
68,KR,9.059000000000001,8.317,8.308,8.424,7.744,8.398
70,LHX,8.844000000000001,8.798,10.006,8.187,9.952,8.597
37,DJI,8.721,8.372499999999999,7.685,7.6605,8.839,8.870000000000001
30,CRH,8.686,7.382,6.29,4.662,6.941,8.5395
129,SPX,8.1785,7.884,7.510999999999999,8.437,9.311499999999999,9.43
